	SFK	SHC	GS	GAB1	IRS	RasGAP	RAS	RAF	MEK	PI3K	PIP3	PDK1	mTOR	EGF	I
50	0	0	0	-1	0	0	0	-1	0	0	0	0	0	1	0.01
51	0	0	0	-1	0	0	0	0	-1	0	0	0	0	1	0.01
52	0	0	0	-1	0	0	0	0	0	-1	0	0	0	1	0.01
53	0	0	0	-1	0	0	0	0	0	0	-1	0	0	1	0.01
54	0	0	0	-1	0	0	0	0	0	0	0	-1	0	1	0.01
55	0	0	0	-1	0	0	0	0	0	0	0	0	-1	1	0.01
56	0	0	0	0	-1	-1	0	0	0	0	0	0	0	1	0.01
57	0	0	0	0	-1	0	-1	0	0	0	0	0	0	1	0.01
58	0	0	0	0	-1	0	0	-1	0	0	0	0	0	1	0.01
59	0	0	0	0	-1	0	0	0	-1	0	0	0	0	1	0.01
60	0	0	0	0	-1	0	0	0	0	-1	0	0	0	1	0.01
61	0	0	0	0	-1	0	0	0	0	0	-1	0	0	1	0.01
62	0	0	0	0	-1	0	0	0	0	0	0	-1	0	1	0.01
63	0	0	0	0	-1	0	0	0	0	0	0	0	-1	1	0.01
64	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1	0.01
65	0	0	0	0	0	-1	0	-1	0	0	0	0	0	1	0.01
66	0	0	0	0	0	-1	0	0	-1	0	0	0	0	1	0.01
67	0	0	0	0	0	-1	0	0	0	-1	0	0	0	1	0.01
68	0	0	0	0	0	-1	0	0	0	0	-1	0	0	1	0.01
69	0	0	0	0	0	-1	0	0	0	0	0	-1	0	1	0.01
70	0	0	0	0	0	-1	0	0	0	0	0	0	-1	1	0.01
71	0	0	0	0	0	0	-1	-1	0	0	0	0	0	1	0.01
72	0	0	0	0	0	0	-1	0	-1	0	0	0	0	1	0.01
73	0	0	0	0	0	0	-1	0	0	-1	0	0	0	1	0.01
74	0	0	0	0	0	0	-1	0	0	0	-1	0	0	1	0.01
75	0	0	0	0	0	0	-1	0	0	0	0	-1	0	1	0.01
76	0	0	0	0	0	0	-1	0	0	0	0	0	-1	1	0.01
77	0	0	0	0	0	0	0	-1	-1	0	0	0	0	1	0.01
78	0	0	0	0	0	0	0	-1	0	-1	0	0	0	1	0.01
79	0	0	0	0	0	0	0	-1	0	0	-1	0	0	1	0.01
80	0	0	0	0	0	0	0	-1	0	0	0	-1	0	1	0.01
81	0	0	0	0	0	0	0	-1	0	0	0	0	-1	1	0.01
82	0	0	0	0	0	0	0	0	-1	-1	0	0	0	1	0.01
83	0	0	0	0	0	0	0	0	-1	0	-1	0	0	1	0.01
84	0	0	0	0	0	0	0	0	-1	0	0	-1	0	1	0.01
85	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	0.01
86	0	0	0	0	0	0	0	0	0	-1	-1	0	0	1	0.01
87	0	0	0	0	0	0	0	0	0	-1	0	-1	0	1	0.01
88	0	0	0	0	0	0	0	0	0	-1	0	0	-1	1	0.01
89	0	0	0	0	0	0	0	0	0	0	-1	-1	0	1	0.01
90	0	0	0	0	0	0	0	0	0	0	-1	0	-1	1	0.01
91	0	0	0	0	0	0	0	0	0	0	0	-1	-1	1	0.01
